Transaction_ID,Instructor_Name,Date_of_Birth,Course_Name,Gender,Rating_class,Student_Name,Class_recommendation,Email,Instructor_rating,Final_Score,Registered_date
0,Erik Hawkins Ph.D,05/24/2018,ONLINE_Moral Hacking Course,Male,2,Erica Garcia,No,cannonjason@hotmail.com,2,2,08/23/2017
1,Lauren Davis Master,05/28/2021,Advanced UI Design,Male,1,George Shaffer,Yes,snyderglenn@knox.biz,2,6,03/26/2019
2,Patrick Duran Ph.D,01/18/2021,ONLINE_Artificial intelligence course,Female,2,Antonio Castro,No,courtneydyer@gmail.com,4,9,09/18/2020
3,Teresa Norris Ph.D,09/18/2019,Artificial intelligence course,Female,5,Elizabeth Shepard,Yes,johnmcfarland@gmail.com,3,6,08/20/2019
4,Chad Giles Ph.D,08/20/2020,Advanced UI Design,Female,5,Sherry Pearson,Yes,melissa65@yahoo.com,5,5,03/03/2019
5,Matthew Hunter Master,03/22/2019,Website optimization course,Female,5,Randall Holloway,Yes,dberger@baker-cordova.net,3,3,05/02/2019
6,Mrs. Julia Herman Master,03/13/2021,ONLINE_Web Development Course,Male,1,John Ramirez,No,ronalddavis@gmail.com,3,8,10/03/2020
7,Kristina Wilson Ph.D,11/20/2017,ONLINE_Moral Hacking Course,Male,4,Brian Taylor,No,griffingabriella@yahoo.com,3,4,03/14/2019
8,Ryan Hamilton Ph.D,05/31/2019,Web Development Course,Female,5,Noah Knight,No,victoria70@gmail.com,4,6,03/25/2019
9,Richard Donovan Master,01/06/2018,Artificial intelligence course,Male,1,Patrick Campbell,Yes,taylormichael@anderson-duran.info,2,5,11/23/2020
10,Nicholas Sanchez Ph.D,02/18/2017,Moral Hacking Course,Male,4,Penny Stephens,No,nicholasjefferson@yahoo.com,4,3,05/14/2021
11,Paul Jones Ph.D,04/21/2018,ONLINE_Web Development Course,Female,5,Allison Vazquez,Yes,thomassergio@davies.com,5,9,07/11/2017
12,Erik Hawkins Ph.D,02/05/2018,Network Security Course,Female,4,Erin Horn,No,mccallmichael@clark.biz,4,8,05/08/2020
13,Lauren Davis Master,11/21/2019,ONLINE_Website optimization course,Female,5,Melanie Salinas,No,ssmith@lewis-graham.com,4,10,09/05/2017
14,Patrick Duran Ph.D,05/21/2018,ONLINE_Web Development Course,Male,3,Kathryn Sweeney,Yes,carlos96@gmail.com,4,7,09/29/2019
15,Teresa Norris Ph.D,04/02/2019,ONLINE_Full Stack Developer Course,Female,5,Kari Hicks,No,nicolehampton@gmail.com,5,8,05/08/2020
16,Chad Giles Ph.D,08/13/2017,ONLINE_Advanced UI Design,Male,3,Kenneth Jones,Yes,troy59@vargas.com,4,3,06/27/2018
17,Matthew Hunter Master,03/03/2019,Graphic Design,Female,5,Kyle Chapman,Yes,hopkinsrobert@hotmail.com,2,4,01/24/2018
18,Mrs. Julia Herman Master,04/08/2017,ONLINE_Web Development Course,Female,1,Jennifer Ferguson,No,stephaniewatkins@gmail.com,2,10,06/29/2019
19,Kristina Wilson Ph.D,01/11/2017,Moral Hacking Course,Male,2,Tamara Rivera,Yes,harveytony@webb-mayo.com,4,3,02/14/2021
20,Ryan Hamilton Ph.D,04/27/2019,Moral Hacking Course,Male,3,Valerie Davidson,No,justin28@sanders-olson.biz,2,1,09/04/2017
21,Richard Donovan Master,05/17/2017,Advanced UI Design,Male,1,Tiffany Moore,No,michelle47@hotmail.com,1,3,04/05/2017
22,Nicholas Sanchez Ph.D,06/02/2018,Network Security Course,Male,4,Mark Brown,No,ocole@reeves.com,2,7,09/12/2017
23,Paul Jones Ph.D,10/30/2017,ONLINE_Full Stack Developer Course,Female,2,Jon Nelson,No,millerdavid@hotmail.com,2,6,09/07/2019
24,Erik Hawkins Ph.D,11/30/2017,Full Stack Developer Course,Male,4,Michael Welch,Yes,codyscott@yahoo.com,5,1,11/11/2019
25,Lauren Davis Master,01/02/2017,Full Stack Developer Course,Female,1,Julia Dominguez,No,anthonycrawford@gmail.com,4,4,12/11/2017
26,Patrick Duran Ph.D,04/20/2021,Moral Hacking Course,Male,5,Michael Ortiz,Yes,michael49@gmail.com,5,8,02/20/2018
27,Teresa Norris Ph.D,04/15/2017,ONLINE_Full Stack Developer Course,Female,2,Amanda Delgado,Yes,higginsjeffrey@yahoo.com,3,9,10/16/2017
28,Chad Giles Ph.D,03/12/2017,ONLINE_Web Development Course,Male,4,Kimberly Page,Yes,douglasgaines@alexander.net,4,1,01/04/2018
29,Matthew Hunter Master,02/05/2019,Artificial intelligence course,Male,5,Denise Foster,Yes,jeffrey88@yahoo.com,4,6,08/23/2017
30,Mrs. Julia Herman Master,09/02/2018,Machine learning course,Male,1,Marc Howell,No,emma10@yahoo.com,4,2,06/29/2019
